concept,feature,________-number of participants mentioning this feature,________-number of participants rating this feature,_30_____________-normalized numer of participants mentioning this feature,COUNTIF feature,COUNTIF item
Siberian Husky,has-legs,6,31,5.806451613,27,19
panther,has-legs,8,29,8.275862069,27,20
birch,has-fruit,6,30,6,27,16
The Dachshund,has-legs,9,29,9.310344828,27,19
hound,has-legs,8,30,8,27,21
mule,has-legs,7,30,7,27,16
Yak,has-legs,6,30,6,27,18
Hen,has-legs,6,30,6,27,18
Loquat,has-fruit,8,30,8,27,19
Mulberry,has-fruit,12,30,12,27,17
ostrich,has-legs,11,30,11,27,16
lizard,has-legs,7,50,4.2,27,30
cricket,has-legs,16,59,8.13559322,27,24
Coconut,has-fruit,6,30,6,27,18
hare,has-legs,9,30,9,27,21
grasshopper,has-legs,11,30,11,27,17
spider,has-legs,16,30,16,27,17
knife,is-Weapons,9,31,8.709677419,26,25
Soybean Milk,has-Sugar,6,29,6.206896552,26,16
dove,is-Birds,22,30,22,26,16
Seagull,is-Birds,25,30,25,26,16
penguin,is-Birds,9,31,8.709677419,26,17
Squab,is-Birds,13,30,13,26,16
pot,is-container,10,29,10.34482759,26,16
Swan,is-Birds,12,31,11.61290323,26,18
Vulture,is-Birds,12,28,12.85714286,26,16
ostrich,is-Birds,19,30,19,26,16
cricket,can-Voice,9,59,4.576271186,26,24
swallow,is-Birds,24,31,23.22580645,26,17
Robins,is-Birds,24,29,24.82758621,26,17
zebra,has-Ears,9,28,9.642857143,25,25
leopard,has-Ears,7,30,7,25,40
Knife,is-Sharp,12,30,12,25,25
knife,is-Sharp,19,31,18.38709677,25,25
nail,is-sharp,8,29,8.275862069,25,17
nail,is-Sharp,6,29,6.206896552,25,17
African elephant,has-Ears,16,31,15.48387097,25,19
Dog,has-Ears,10,29,10.34482759,25,22
Siberian Husky,has-Ears,15,31,14.51612903,25,19
Raccoons,has-Ears,7,30,7,25,20
Koala,has-Ears,14,30,14,25,18
The Dachshund,has-Ears,6,29,6.206896552,25,19
tiger,has-Ears,6,31,5.806451613,25,23
mouse,has-Ears,9,30,9,25,25
hound,has-Ears,6,30,6,25,21
Totoro,has-Ears,14,29,14.48275862,25,16
mule,has-Ears,9,30,9,25,16
Elk,has-Ears,7,30,7,25,19
Ewes,has-Ears,6,30,6,25,21
cattle,has-Ears,8,31,7.741935484,25,31
Chow Chow,has-Ears,6,30,6,25,16
rabbit,has-Ears,15,30,15,25,35
Rabbit,has-Ears,18,30,18,25,35
panda,has-Ears,7,29,7.24137931,25,23
Alpaca,has-Ears,6,30,6,25,21
hare,has-Ears,18,30,18,25,21
Refrigerator,is-Electrical,20,31,19.35483871,24,18
Jujube,has-stone,10,30,10,24,27
Refrigerator,is-Electrical,21,30,21,24,18
olive,has-stone,10,31,9.677419355,24,27
litchi,has-stone,19,31,18.38709677,24,17
honey peach,has-stone,15,30,15,24,28
Loquat,has-stone,12,30,12,24,19
Hawthorn,has-stone,21,31,20.32258065,24,17
Honey peach,has-stone,14,30,14,24,28
Peach,has-stone,16,30,16,24,17
belt,is-Decoration,8,30,8,24,22
Cherry,has-stone,16,30,16,24,17
Jujube,has-stone,14,30,14,24,27
silver birch,is-Tree,18,30,18,23,19
white-barked pine,is-Tree,15,30,15,23,16
Cypress,is-Tree,12,28,12.85714286,23,16
glass,is-Living Supplies,8,30,8,23,19
Glass,is-transparent,16,30,16,23,19
Scallion,is-Seasoning,11,30,11,23,17
garlic,is-Seasoning,15,30,15,23,16
Carp,is-Fish,21,29,21.72413793,23,32
Turbot,is-Fish,27,30,27,23,16
Viper,can-Crawl,6,29,6.206896552,23,27
Olive,is-Tree,15,29,15.51724138,23,27
Jellyfish,is-transparent,9,31,8.709677419,23,29
birch,is-Tree,14,30,14,23,16
Crucian carp,is-Fish,25,30,25,23,17
whale,is-Fish,10,33,9.090909091,23,18
Guppy,is-Fish,23,28,24.64285714,23,17
carp,is-Fish,26,30,26,23,32
Python,can-Crawl,18,47,11.4893617,23,30
The sperm whale,is-Fish,14,30,14,23,19
snake,can-Crawl,12,31,11.61290323,23,19
Jellyfish,is-transparent,10,30,10,23,29
Metasequoia,is-Tree,16,30,16,23,19
snail,can-Crawl,20,30,20,23,20
lizard,can-Crawl,27,50,16.2,23,30
Bungarus multicinctus,can-Crawl,11,29,11.37931034,23,18
spider,can-Crawl,7,30,7,23,17
zebra,need-grass,13,28,13.92857143,22,25
Seaweed,is-Snacks,7,29,7.24137931,22,29
cattle,need-grass,9,30,9,22,31
Yak,need-grass,13,30,13,22,18
Elk,need-grass,7,30,7,22,19
Ewes,need-grass,16,30,16,22,21
cattle,need-grass,13,31,12.58064516,22,31
Belt,has-hole,14,30,14,22,22
rabbit,need-grass,9,30,9,22,35
Rabbit,need-grass,9,30,9,22,35
cricket,need-grass,9,59,4.576271186,22,24
Alpaca,need-grass,11,30,11,22,21
belt,has-hole,15,30,15,22,22
hare,need-grass,11,30,11,22,21
grasshopper,need-grass,8,30,8,22,17
Bus,has-seat,16,29,16.55172414,21,28
silver birch,has-branches,10,30,10,21,19
white-barked pine,has-branches,6,30,6,21,16
Cypress,has-branches,11,28,11.78571429,21,16
Daisy,has-stamens,9,29,9.310344828,21,16
Viper,can-Bite,14,30,14,21,27
Viper,can-Bite,14,30,14,21,27
Viper,can-Bite,7,29,7.24137931,21,27
Viper,can-Bite,7,29,7.24137931,21,27
Olive,has-branches,9,29,9.310344828,21,27
Bus,has-seat,16,30,16,21,28
shrub,has-branches,11,30,11,21,17
Lotus,has-stamens,12,30,12,21,37
birch,has-branches,12,30,12,21,16
Honeysuckle,has-stamens,8,30,8,21,20
Chrysanthemum,has-stamens,8,31,7.741935484,21,19
The Dachshund,can-Bite,6,29,6.206896552,21,19
The Dachshund,can-Bite,6,29,6.206896552,21,19
Lotus,has-stamens,10,30,10,21,37
snake,can-Bite,6,31,5.806451613,21,19
snake,can-Bite,6,31,5.806451613,21,19
Metasequoia,has-branches,13,30,13,21,19
Bungarus multicinctus,can-Bite,6,29,6.206896552,21,18
Bungarus multicinctus,can-Bite,6,29,6.206896552,21,18
tulips,has-stamens,9,31,8.709677419,21,17
nail,is-body parts,10,30,10,21,17
silver birch,has-trunk,17,30,17,20,19
white-barked pine,has-trunk,12,30,12,20,16
Cypress,has-trunk,11,28,11.78571429,20,16
leopard,has-Nose,7,30,7,20,40
Scallion,can-to taste,9,30,9,20,17
Timber wolf,has-Nose,6,30,6,20,24
garlic,can-to taste,11,30,11,20,16
African elephant,has-Nose,25,31,24.19354839,20,19
Olive,has-trunk,12,29,12.4137931,20,27
Dog,has-Nose,7,29,7.24137931,20,22
Siberian Husky,has-Nose,10,31,9.677419355,20,19
monkey,has-Nose,6,30,6,20,29
birch,has-trunk,14,30,14,20,16
Raccoons,has-Nose,7,30,7,20,20
Koala,has-Nose,9,30,9,20,18
The Dachshund,has-Nose,9,29,9.310344828,20,19
hound,has-Nose,6,30,6,20,21
tyre,has-many models,11,54,6.111111111,20,17
mule,has-Nose,7,30,7,20,16
Elk,has-Nose,6,30,6,20,19
Ewes,has-Nose,7,30,7,20,21
cattle,has-Nose,9,31,8.709677419,20,31
lion,has-Nose,8,30,8,20,23
mouse,has-Keys,7,30,7,20,25
Metasequoia,has-trunk,9,30,9,20,19
coriander,can-to taste,9,30,9,20,17
chimpanzee,has-Nose,7,30,7,20,18
Tyrannosaurus Rex,is-vicious,8,28,8.571428571,19,16
leopard,is-vicious,8,30,8,19,40
glass,is-glass,9,30,9,19,19
Timber wolf,is-vicious,10,30,10,19,24
Watermelon,has-seed,10,31,9.677419355,19,36
citrus,has-seed,6,29,6.206896552,19,17
Hami melon,has-seed,10,30,10,19,17
Jellyfish,is-Biology,10,31,9.677419355,19,29
panther,is-vicious,8,29,8.275862069,19,20
Cucurbit,has-seed,7,30,7,19,21
cucumber,has-seed,9,30,9,19,21
Dinosaur,is-vicious,7,30,7,19,17
wolf,is-vicious,14,29,14.48275862,19,22
tiger,is-vicious,14,31,13.5483871,19,23
Cheetah,is-vicious,9,30,9,19,25
hound,is-vicious,9,30,9,19,21
Python,is-vicious,7,47,4.468085106,19,30
kiwifruit,has-seed,9,30,9,19,17
Oysters,is-Biology,10,31,9.677419355,19,24
lemon,has-seed,6,30,6,19,16
Grape,has-seed,14,31,13.5483871,19,20
Oysters,is-Biology,6,30,6,19,24
lion,is-vicious,16,30,16,19,23
Jellyfish,is-Biology,16,30,16,19,29
Vulture,is-vicious,9,28,9.642857143,19,16
watermelon,has-seed,11,31,10.64516129,19,36
Tomatoes,has-seed,8,31,7.741935484,19,22
moth,is-Biology,6,28,6.428571429,19,19
Daisy,can-Brew,8,29,8.275862069,18,16
soybean,has-Protein,6,30,6,18,26
garlic,need-Peel,10,30,10,18,16
Soybean Milk,has-Protein,7,29,7.24137931,18,16
citrus,need-Peel,7,29,7.24137931,18,17
Cucurbit,like-stick,7,30,7,18,21
cucumber,like-stick,6,30,6,18,21
egg,has-Protein,7,31,6.774193548,18,17
Honeysuckle,can-Brew,16,30,16,18,20
Orange,need-Peel,10,30,10,18,16
Chrysanthemum,can-Brew,13,31,12.58064516,18,19
Guppy,is-good to see,9,28,9.642857143,18,17
litchi,need-Peel,8,31,7.741935484,18,17
babysbreath,is-good to see,7,29,7.24137931,18,16
Soybean,need-Peel,9,29,9.310344828,18,26
kiwifruit,need-Peel,8,30,8,18,17
lemon,can-Brew,17,30,17,18,16
grapefruit,need-Peel,7,30,7,18,17
tulips,is-good to see,6,31,5.806451613,18,17
Jujube,can-Brew,9,30,9,18,27
glass,has-a variety of materials,6,30,6,17,19
moth,has-Antennae,9,29,9.310344828,17,19
Touring car,is-expensive,8,30,8,17,18
Jellyfish,has-Antennae,7,31,6.774193548,17,29
gym shoes,can-Exercise,7,30,7,17,16
Jellyfish,has-Antennae,13,30,13,17,29
snail,has-Antennae,11,30,11,17,20
watermelon,can-quench thirst,8,31,7.741935484,17,36
cricket,has-Antennae,19,59,9.661016949,17,24
gym shoes,can-Exercise,7,29,7.24137931,17,16
grasshopper,has-Antennae,8,30,8,17,17
glass,has-Cover,6,30,6,16,19
tyre,need-Install,7,54,3.888888889,16,17
Python,has-HEAD,6,47,3.829787234,16,30
ostrich,has-HEAD,9,30,9,16,16
lizard,has-HEAD,11,50,6.6,16,30
cricket,has-HEAD,9,59,4.576271186,16,24
Bungarus multicinctus,has-HEAD,7,29,7.24137931,16,18
Bus,need-Oil,8,29,8.275862069,15,28
zebra,has-Patterns,7,28,7.5,15,25
Carp,has-fins,7,29,7.24137931,15,32
Viper,like-rope,12,30,12,15,27
Turbot,has-fins,9,30,9,15,16
Touring car,need-Oil,8,30,8,15,18
Viper,like-rope,8,29,8.275862069,15,27
Bus,need-Oil,6,30,6,15,28
Sea snake,like-rope,9,30,9,15,18
Crucian carp,has-fins,8,30,8,15,17
leopard,has-Patterns,10,30,10,15,40
whale,has-fins,16,33,14.54545455,15,18
Orange,like-ball,6,30,6,15,16
Guppy,has-fins,11,28,11.78571429,15,17
tiger,has-Patterns,6,31,5.806451613,15,23
carp,has-fins,10,30,10,15,32
Cheetah,has-Patterns,6,30,6,15,25
tyre,has-Patterns,8,54,4.444444444,15,17
Python,like-rope,18,47,11.4893617,15,30
Python,has-Patterns,6,47,3.829787234,15,30
The sperm whale,has-fins,9,30,9,15,19
Bacon,has-Oil,6,31,5.806451613,15,18
Belt,like-rope,12,30,12,15,22
snake,like-rope,17,31,16.4516129,15,19
watermelon,like-ball,16,31,15.48387097,15,36
onion,like-ball,6,30,6,15,17
belt,like-rope,10,30,10,15,22
belt,has-button,6,30,6,15,22
Coconut,like-ball,13,30,13,15,18
Bungarus multicinctus,like-rope,17,29,17.5862069,15,18
grapefruit,like-ball,12,30,12,15,17
fish,has-fins,13,30,13,15,16
Knife,need-grind,6,30,6,14,25
knife,need-grind,7,31,6.774193548,14,25
Viper,has-Toxic,25,30,25,14,27
Viper,is-dangerous,6,30,6,14,27
Touring car,can-sleep,8,30,8,14,18
Viper,has-Toxic,12,29,12.4137931,14,27
Sea snake,has-Toxic,6,30,6,14,18
Python,has-Toxic,13,47,8.29787234,14,30
snake,has-Toxic,10,31,9.677419355,14,19
pot,can-hold,12,29,12.4137931,14,16
Bungarus multicinctus,has-Toxic,14,29,14.48275862,14,18
spider,has-Toxic,7,30,7,14,17
silver birch,is-high,8,30,8,13,19
Sea snake,has-Body,8,30,8,13,18
birch,is-high,9,30,9,13,16
Python,has-Body,7,47,4.468085106,13,30
Elk,has-Body,6,30,6,13,19
leather jacket,has-Sleeve,11,30,11,13,16
Metasequoia,is-high,8,30,8,13,19
lizard,has-Body,6,50,3.6,13,30
cricket,has-Body,11,59,5.593220339,13,24
chimpanzee,has-Body,8,30,8,13,18
Bus,need-Driver,9,29,9.310344828,12,28
Persian cat,is-cute,9,29,9.310344828,12,18
soybean,is-Bean,6,30,6,12,26
Turbot,has-Scaly,12,30,12,12,16
Bus,need-Driver,10,30,10,12,28
Dog,is-cute,8,29,8.275862069,12,22
Raccoons,is-cute,8,30,8,12,20
Crucian carp,has-Scaly,18,30,18,12,17
Koala,is-cute,10,30,10,12,18
Guppy,has-Scaly,8,28,8.571428571,12,17
carp,has-Scaly,12,30,12,12,32
Totoro,is-cute,7,29,7.24137931,12,16
Python,has-Scaly,8,47,5.106382979,12,30
Soybean,is-Bean,7,29,7.24137931,12,26
Bacon,need-Cooking,8,31,7.741935484,12,18
leather jacket,has-zip,7,30,7,12,16
rabbit,is-cute,7,30,7,12,35
Rabbit,is-cute,10,30,10,12,35
panda,is-cute,6,29,6.206896552,12,23
Alpaca,is-cute,6,30,6,12,21
fish,has-Scaly,18,30,18,12,16
trousers,has-zip,7,30,7,12,18
leopard,like-Cat,10,30,10,11,40
Glass,can-Windshield,7,30,7,11,19
Knife,is-knife,23,30,23,11,25
garlic,is-spicy,12,30,12,11,16
Olive,like-umbrella,7,29,7.24137931,11,27
Bus,can-ride,8,30,8,11,28
Hami melon,need-cut,10,30,10,11,17
Jellyfish,like-umbrella,7,31,6.774193548,11,29
Lotus,is-in the water,8,30,8,11,37
panther,like-Cat,9,29,9.310344828,11,20
Monkey,like-human,16,29,16.55172414,11,29
Monkey,can-Jump,6,29,6.206896552,11,29
monkey,like-human,20,30,20,11,29
Cucurbit,has-prick,11,30,11,11,21
Cucurbit,has-Vitamin,6,30,6,11,21
Raccoons,is-Brown,6,30,6,11,20
cucumber,has-prick,12,30,12,11,21
Crucian carp,is-in the water,6,30,6,11,17
leopard,like-Cat,9,30,9,11,40
Cushion,is-Comfortable,7,31,6.774193548,11,17
tiger,like-Cat,16,31,15.48387097,11,23
Lotus,is-in the water,7,30,7,11,37
Cheetah,like-Cat,13,30,13,11,25
Durian,has-prick,14,30,14,11,16
Totoro,like-Cat,12,29,12.4137931,11,16
tyre,other-Cars,28,54,15.55555556,11,17
Leech,is-Harmful,11,29,11.37931034,11,27
kiwifruit,has-Vitamin,8,30,8,11,17
lemon,need-cut,7,30,7,11,16
lemon,has-Vitamin,6,30,6,11,16
leather jacket,can-Windshield,9,30,9,11,16
leather jacket,can-Keep Cold,9,30,9,11,16
lion,like-Cat,11,30,11,11,23
Jellyfish,like-umbrella,12,30,12,11,29
Jellyfish,is-in the water,6,30,6,11,29
Leech,is-Harmful,7,28,7.5,11,27
Leech,is-in the water,6,28,6.428571429,11,27
rabbit,can-Jump,11,30,11,11,35
Rabbit,can-Jump,9,30,9,11,35
watermelon,need-cut,10,31,9.677419355,11,36
cricket,can-Jump,18,59,9.152542373,11,24
chimpanzee,like-human,17,30,17,11,18
onion,is-spicy,10,30,10,11,17
onion,need-cut,10,30,10,11,17
hare,can-Jump,7,30,7,11,21
hare,like-Cat,7,30,7,11,21
fish,is-in the water,10,30,10,11,16
gym shoes,is-Comfortable,6,29,6.206896552,11,16
grasshopper,can-Jump,17,30,17,11,17
moth,is-Harmful,16,28,17.14285714,11,19
Cushion,is-Comfortable,6,28,6.428571429,11,17
knife,can-kill,7,31,6.774193548,10,25
Viper,is-Reptiles,10,30,10,10,27
Turbot,has-gills,7,30,7,10,16
citrus,is-Orange,9,29,9.310344828,10,17
citrus,is-Orange,6,29,6.206896552,10,17
pot,is-kitchen utensils,6,30,6,10,16
Sea snake,is-Reptiles,7,30,7,10,18
Seaweed,is-salty,6,29,6.206896552,10,29
cattle,has-Angle,9,30,9,10,31
Crucian carp,has-gills,7,30,7,10,17
Crucian carp,need-Oxygen,6,30,6,10,17
Orange,is-Orange,7,30,7,10,16
Guppy,need-Oxygen,9,28,9.642857143,10,17
Guppy,has-gills,7,28,7.5,10,17
Bacon,is-salty,6,30,6,10,18
carp,has-gills,8,30,8,10,32
carp,need-Oxygen,7,30,7,10,32
Python,is-Reptiles,8,47,5.106382979,10,30
Yak,has-Angle,6,30,6,10,18
Elk,has-Angle,27,30,27,10,19
The sperm whale,need-Oxygen,6,30,6,10,19
Ewes,has-Angle,9,30,9,10,21
cattle,has-Angle,9,31,8.709677419,10,31
snake,is-Reptiles,12,31,11.61290323,10,19
Clock,can-Timing,9,30,9,10,22
pot,is-Ceramics,6,29,6.206896552,10,16
lizard,is-Reptiles,21,50,12.6,10,30
cricket,can-Call,17,59,8.644067797,10,24
coriander,has-Taste,10,30,10,10,17
Bungarus multicinctus,is-Reptiles,9,29,9.310344828,10,18
fish,has-gills,16,30,16,10,16
fish,need-Oxygen,8,30,8,10,16
Robins,can-Call,9,29,9.310344828,10,17
spider,is-Reptiles,6,30,6,10,17
clock,can-Timing,13,29,13.44827586,10,22
clock,can-Timing,9,29,9.310344828,10,22
Refrigerator,has-door,12,31,11.61290323,9,18
Refrigerator,is-cabinet,7,31,6.774193548,9,18
Dionaea muscipula,need-Insect,7,30,7,9,16
Knife,can-Cut,19,30,19,9,25
Knife,has-blade,16,30,16,9,25
knife,can-Cut,26,31,25.16129032,9,25
knife,has-blade,18,31,17.41935484,9,25
Refrigerator,has-door,11,30,11,9,18
Refrigerator,is-cabinet,7,30,7,9,18
Soybean Milk,has-Beans,6,29,6.206896552,9,16
Cabbage,is-Purple,6,30,6,9,29
Siberian Husky,is-Dog,30,31,29.03225806,9,19
The Dachshund,is-Dog,23,29,23.79310345,9,19
hound,is-Dog,16,30,16,9,21
Soybean,has-Beans,6,29,6.206896552,9,26
Grape,is-Purple,12,31,11.61290323,9,20
Mulberry,is-Purple,13,30,13,9,17
Clock,has-pointer,15,30,15,9,22
Chow Chow,is-Dog,9,30,9,9,16
lizard,need-Insect,10,50,6,9,30
swallow,need-Insect,10,31,9.677419355,9,17
onion,is-Purple,9,30,9,9,17
spider,need-Insect,7,30,7,9,17
clock,has-pointer,11,29,11.37931034,9,22
Bus,need-Go,6,29,6.206896552,8,28
Glass,is-Material,6,30,6,8,19
Carp,need-Seawater,7,29,7.24137931,8,32
Viper,is-Snake,6,30,6,8,27
goose,is-Poultry,9,30,9,8,17
Touring car,can-Move,8,30,8,8,18
Touring car,need-Go,6,30,6,8,18
Viper,is-Snake,13,29,13.44827586,8,27
citrus,like-orange,13,29,13.44827586,8,17
dove,is-Poultry,7,30,7,8,16
Cock,is-Poultry,11,30,11,8,20
Bus,need-Go,6,30,6,8,28
Sea snake,is-Snake,18,30,18,8,18
Sea snake,need-Seawater,7,30,7,8,18
Jellyfish,can-Cool,7,31,6.774193548,8,29
Cucurbit,can-Cool,7,30,7,8,21
cucumber,can-Cool,7,30,7,8,21
Orange,like-orange,11,30,11,8,16
tyre,need-inflate,11,54,6.111111111,8,17
Python,is-Snake,16,47,10.21276596,8,30
The sperm whale,need-Seawater,8,30,8,8,19
Hen,is-Poultry,16,30,16,8,18
lemon,like-orange,9,30,9,8,16
lemon,like-orange,6,30,6,8,16
Bacon,has-Fat,8,31,7.741935484,8,18
Belt,like-snake,8,30,8,8,22
Clock,has-dial,11,30,11,8,22
Jellyfish,need-Seawater,9,30,9,8,29
Jellyfish,can-Move,6,30,6,8,29
Lettuce,can-Cool,9,31,8.709677419,8,33
Tomatoes,can-Cool,6,31,5.806451613,8,22
lizard,like-snake,15,50,9,8,30
duck,is-Poultry,16,29,16.55172414,8,17
belt,like-snake,9,30,9,8,22
pheasant,is-Poultry,9,29,9.310344828,8,16
Bungarus multicinctus,is-Snake,13,29,13.44827586,8,18
grapefruit,like-orange,6,30,6,8,17
grapefruit,like-orange,6,30,6,8,17
trousers,is-Trousers,16,30,16,8,18
clock,has-dial,7,29,7.24137931,8,22
zebra,like-horse,12,28,12.85714286,7,25
glass,can-hold water,6,30,6,7,19
Persian cat,is-pets,8,29,8.275862069,7,18
Dionaea muscipula,is-Grass,6,30,6,7,16
Knife,is-tableware,16,30,16,7,25
nail,has-tip,17,29,17.5862069,7,17
Dog,is-pets,8,29,8.275862069,7,22
shrub,like-grass,8,30,8,7,17
Siberian Husky,is-pets,6,31,5.806451613,7,19
seaweed,like-grass,10,30,10,7,29
Sea snake,has-tongue,6,30,6,7,18
Monkey,can-Climb Trees,13,29,13.44827586,7,29
Raccoons,can-Climb Trees,10,30,10,7,20
egg,is-Eggs,7,31,6.774193548,7,17
Koala,can-Climb Trees,14,30,14,7,18
trousers,has-Pants Legs,9,30,9,7,18
Sausage,need-marinate,9,30,9,7,18
The Dachshund,is-pets,7,29,7.24137931,7,19
Bacon,need-marinate,13,30,13,7,18
Totoro,is-pets,7,29,7.24137931,7,16
Totoro,like-mouse,6,29,6.206896552,7,16
mule,like-horse,27,30,27,7,16
Python,has-tongue,7,47,4.468085106,7,30
Elk,like-horse,6,30,6,7,19
Belt,is-Leather,16,30,16,7,22
Belt,is-tape,6,30,6,7,22
leather jacket,is-Leather,16,30,16,7,16
leather jacket,has-bag,6,30,6,7,16
penguin,has-feet,9,31,8.709677419,7,17
snake,has-tongue,8,31,7.741935484,7,19
mouse,like-mouse,22,30,22,7,25
mouse,is-Electronic Products,8,30,8,7,25
Chow Chow,is-pets,8,30,8,7,16
lizard,has-tongue,7,50,4.2,7,30
cricket,has-feet,7,59,3.559322034,7,24
panda,can-Climb Trees,14,29,14.48275862,7,23
mole,like-mouse,21,30,21,7,16
belt,is-tape,15,30,15,7,22
belt,is-Leather,14,30,14,7,22
Bungarus multicinctus,has-tongue,7,29,7.24137931,7,18
trousers,has-Pants Legs,9,30,9,7,18
Robins,has-feet,6,29,6.206896552,7,17
spider,has-feet,7,30,7,7,17
Bus,need-Gasoline,9,29,9.310344828,6,28
zebra,is-black and white,13,28,13.92857143,6,25
leopard,like-Lion,9,30,9,6,40
Refrigerator,is-at home,14,31,13.5483871,6,18
soybean,has-pod,6,30,6,6,26
Refrigerator,is-at home,9,30,9,6,18
nail,can-Fix,7,29,7.24137931,6,17
Soybean Milk,is-Bean Products,7,29,7.24137931,6,16
tomato,like-Apple,9,30,9,6,17
Cabbage,like-cabbage,8,30,8,6,29
Bus,can-Drive,6,30,6,6,28
Otarriinae,like-Lion,9,30,9,6,16
Lotus,is-Pink,11,30,11,6,37
Cauliflower,like-flower,8,30,8,6,17
Cabbage,like-cabbage,13,30,13,6,29
Cushion,is-household goods,6,31,5.806451613,6,17
Sunflower,like-Sun,11,29,11.37931034,6,30
tiger,like-Lion,8,31,7.741935484,6,23
Cheetah,like-Lion,7,30,7,6,25
tyre,is-Rubber,31,54,17.22222222,6,17
babysbreath,can-Gifts,8,29,8.275862069,6,16
Soybean,has-pod,10,29,10.34482759,6,26
honey peach,is-Pink,8,30,8,6,28
Ewes,has-wool,6,30,6,6,21
penguin,is-black and white,7,31,6.774193548,6,17
gym shoes,is-Shoes,17,30,17,6,16
gym shoes,like-boat,12,30,12,6,16
Hawthorn,like-Apple,10,31,9.677419355,6,17
Clock,is-Clock,13,30,13,6,22
Honey peach,is-Pink,14,30,14,6,28
Jellyfish,like-Mushroom,8,30,8,6,29
Chow Chow,like-Lion,19,30,19,6,16
Peach,is-Pink,6,30,6,6,17
Tomatoes,like-Apple,8,31,7.741935484,6,22
Broccoli,like-flower,8,30,8,6,16
Sunflower,like-Sun,6,31,5.806451613,6,30
panda,is-black and white,10,29,10.34482759,6,23
Lettuce,like-cabbage,6,30,6,6,33
gym shoes,is-Shoes,23,29,23.79310345,6,16
gym shoes,like-boat,8,29,8.275862069,6,16
clock,is-Clock,8,29,8.275862069,6,22
Bus,has-Windows,10,29,10.34482759,5,28
Bus,is-public,8,29,8.275862069,5,28
leopard,like-Tiger,15,30,15,5,40
leopard,is-fast,12,30,12,5,40
leopard,is-Catidae,7,30,7,5,40
Persian cat,is-Catidae,8,29,8.275862069,5,18
Persian cat,like-Tiger,7,29,7.24137931,5,18
goose,like-duck,20,30,20,5,17
Touring car,need-to drive,8,30,8,5,18
Touring car,has-Windows,6,30,6,5,18
olive,like-football,7,31,6.774193548,5,27
Bus,has-Windows,9,30,9,5,28
Bus,is-public,6,30,6,5,28
Dog,like-wolf,16,29,16.55172414,5,22
Hami melon,like-football,7,30,7,5,17
Siberian Husky,like-wolf,13,31,12.58064516,5,19
panther,is-Catidae,6,29,6.206896552,5,20
black swan,like-duck,11,30,11,5,17
fox,like-wolf,7,30,7,5,17
leopard,like-Tiger,10,30,10,5,40
Sausage,need-Dry,7,30,7,5,18
Bacon,has-Salt,8,30,8,5,18
Cheetah,like-Tiger,12,30,12,5,25
Cheetah,is-Catidae,9,30,9,5,25
Cheetah,is-fast,8,30,8,5,25
hound,like-wolf,15,30,15,5,21
Leech,can-suck blood,13,29,13.44827586,5,27
Oysters,is-Seafood,7,31,6.774193548,5,24
Oysters,is-Seafood,14,30,14,5,24
lion,like-Tiger,14,30,14,5,23
lion,is-Catidae,6,30,6,5,23
Clock,has-minute needle,11,30,11,5,22
Clock,has-hour,10,30,10,5,22
Clock,has-numbers,10,30,10,5,22
mouse,need-Computer,19,30,19,5,25
Leech,can-suck blood,21,28,22.5,5,27
pot,need-Burn,12,29,12.4137931,5,16
Swan,like-duck,12,31,11.61290323,5,18
swallow,like-Sparrow,8,31,7.741935484,5,17
tulips,like-Rose,11,31,10.64516129,5,17
Robins,like-Sparrow,6,29,6.206896552,5,17
clock,has-hour,10,29,10.34482759,5,22
clock,has-minute needle,9,29,9.310344828,5,22
white-barked pine,is-Pine,11,30,11,4,16
Cypress,can-Clean Air,6,28,6.428571429,4,16
zebra,is-Grass Food,7,28,7.5,4,25
Glass,is-perishable,8,30,8,4,19
Glass,is-Fragile,8,30,8,4,19
Timber wolf,is-Grey,9,30,9,4,24
Timber wolf,has-sharp teeth,9,30,9,4,24
nail,like-needle,6,29,6.206896552,4,17
Watermelon,is-Oval,6,31,5.806451613,4,36
Soybean Milk,has-soybeans,6,29,6.206896552,4,16
goose,is-domestic,6,30,6,4,17
olive,is-Oval,6,31,5.806451613,4,27
Cock,is-domestic,10,30,10,4,20
seaweed,like-kelp,7,30,7,4,29
Otarriinae,has-beard,8,30,8,4,16
Seaweed,like-kelp,6,29,6.206896552,4,29
black swan,has-Neck,8,30,8,4,17
Monkey,is-Primates,9,29,9.310344828,4,29
Cucurbit,can-eat raw,6,30,6,4,21
cucumber,can-eat raw,7,30,7,4,21
cattle,can-cultivate land,14,30,14,4,31
cattle,is-Niu,8,30,8,4,31
egg,has-Egg Yolk,23,31,22.25806452,4,17
egg,is-Oval,6,31,5.806451613,4,17
whale,can-Spray,12,33,10.90909091,4,18
Cushion,has-Cotton,14,31,13.5483871,4,17
Cushion,is-mat,9,31,8.709677419,4,17
Dinosaur,is-Grass Food,6,30,6,4,17
wolf,is-Grey,6,29,6.206896552,4,22
tiger,has-sharp teeth,6,31,5.806451613,4,23
Durian,is-stinky,8,30,8,4,16
tyre,is-Components,13,54,7.222222222,4,17
carriage,is-Ancient,7,30,7,4,17
babysbreath,like-Star,9,29,9.310344828,4,16
Yak,is-Niu,15,30,15,4,18
kiwifruit,like-potatoes,6,30,6,4,17
